Gene ID	Gene Name	7 day	8 day	9 day	10 day	11 day	12 day	13 day	14 day	15 day	16 day
AT3G53710	AGD6	34.0	37.0	34.0	39.0	29.0	39.0	43.0	45.0	42.0	44.0
AT3G53720	CHX20	0.1	0.4	0.5	0.5	0.5	0.9	0.9	0.7	0.3	0.3
AT3G53730	AT3G53730	340.0	336.0	318.0	344.0	507.0	397.0	367.0	371.0	420.0	346.0
AT3G53740	RPL36B	900.0	835.0	847.0	663.0	1184.0	808.0	718.0	772.0	876.0	703.0
AT3G53750	ACT1	61.0	52.0	55.0	56.0	62.0	57.0	57.0	60.0	52.0	44.0
AT3G53760	GCP4	5.0	11.0	10.0	15.0	8.0	13.0	15.0	14.0	16.0	17.0
AT3G53775	AT3G53775		0.4								
AT3G53780	RBL4	4.0	6.0	7.0	7.0	6.0	7.0	8.0	7.0	7.0	10.0
AT3G53800	Fes1B	13.0	19.0	12.0	13.0	11.0	13.0	11.0	10.0	11.0	19.0
AT3G53810	LECRK42	5.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0
AT3G53830	AT3G53830	0.1	0.8	0.7	0.6	0.7	1.0	1.0	0.9	1.0	2.0
AT3G53840	WAKL15	0.9	0.8	0.5	0.3	1.0	0.3	0.5	0.4	0.6	1.0
AT3G53850	AT3G53850	49.0	41.0	52.0	49.0	65.0	56.0	51.0	47.0	46.0	48.0
AT3G53860	AT3G53860	9.0	6.0	8.0	7.0	7.0	7.0	8.0	8.0	8.0	8.0
AT3G53870	RPS3B	678.0	702.0	704.0	631.0	879.0	730.0	685.0	730.0	701.0	524.0
AT3G53880	AKR4C11	9.0	12.0	14.0	15.0	10.0	11.0	15.0	14.0	14.0	15.0
AT3G53890	RPS21B	866.0	842.0	851.0	673.0	1307.0	830.0	710.0	751.0	1008.0	735.0
AT3G53900	UPP	22.0	36.0	30.0	36.0	29.0	36.0	31.0	29.0	33.0	29.0
AT3G53920	SIGC	11.0	7.0	6.0	8.0	5.0	8.0	8.0	7.0	9.0	14.0
AT3G53930	AT3G53930	6.0	3.0	3.0	6.0	2.0	4.0	6.0	5.0	6.0	7.0
AT3G53940	AT3G53940	17.0	12.0	13.0	17.0	9.0	13.0	18.0	15.0	12.0	10.0
AT3G53950	AT3G53950	2.0	6.0	6.0	5.0	5.0	5.0	5.0	6.0	4.0	5.0
AT3G53960	NPF5.7	0.8	3.0	3.0	1.0	1.0	1.0	1.0	0.7	0.6	0.7
AT3G53970	AT3G53970	16.0	24.0	27.0	26.0	27.0	26.0	25.0	20.0	23.0	29.0
AT3G53980	AT3G53980	21.0	14.0	28.0	10.0	12.0	7.0	0.5	0.7	1.0	3.0
AT3G53990	AT3G53990	110.0	119.0	133.0	104.0	113.0	114.0	77.0	87.0	83.0	68.0
AT3G54000	AT3G54000	3.0	6.0	6.0	11.0	6.0	12.0	17.0	14.0	12.0	11.0
AT3G54010	PAS1	15.0	17.0	16.0	28.0	11.0	22.0	30.0	26.0	25.0	33.0
AT3G54020	IPCS1	13.0	7.0	6.0	9.0	7.0	9.0	9.0	10.0	10.0	11.0
AT3G54030	BSK6	14.0	12.0	12.0	13.0	11.0	12.0	11.0	10.0	11.0	10.0
AT3G54040	AT3G54040	5.0	6.0	3.0	2.0	2.0	2.0	2.0	3.0	1.0	1.0
AT3G54050	CFBP1	18.0	19.0	15.0	8.0	9.0	17.0	6.0	6.0	7.0	16.0
AT3G54060	AT3G54060	5.0	3.0	2.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0
AT3G54080	AT3G54080	28.0	44.0	49.0	44.0	64.0	54.0	44.0	51.0	46.0	44.0
AT3G54085	AT3G54085	9.0	10.0	7.0	7.0	14.0	11.0	5.0	8.0	12.0	9.0
AT3G54090	FLN1	39.0	41.0	33.0	28.0	21.0	29.0	26.0	27.0	35.0	30.0
AT3G54100	OFUT28	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	3.0	4.0
AT3G54110	PUMP1	97.0	105.0	89.0	69.0	67.0	61.0	64.0	65.0	64.0	56.0
AT3G54120	RTNLB12	0.7	3.0	4.0	2.0	2.0	2.0	1.0	0.8	0.8	0.9
AT3G54130	AT3G54130	5.0	8.0	7.0	8.0	5.0	6.0	7.0	6.0	5.0	5.0
AT3G54140	NPF8.1	2.0	2.0	1.0	0.8	0.4	0.5	0.4	0.4	0.7	0.5
AT3G54150	AT3G54150	0.1	0.1					0.1	0.1		
AT3G54160	AT3G54160	0.2	1.0	0.4	0.4	0.3	0.3	0.3	0.4	0.6	0.5
AT3G54170	FIP37	25.0	18.0	18.0	29.0	16.0	25.0	28.0	25.0	34.0	35.0
AT3G54180	CDKB1-1	33.0	48.0	48.0	57.0	59.0	57.0	55.0	60.0	48.0	44.0
AT3G54190	AT3G54190	35.0	42.0	38.0	49.0	39.0	43.0	48.0	49.0	50.0	50.0
AT3G54200	AT3G54200	11.0	7.0	7.0	7.0	10.0	7.0	7.0	7.0	7.0	8.0
AT3G54210	RPL17	201.0	167.0	143.0	117.0	140.0	150.0	108.0	106.0	130.0	124.0
AT3G54220	SCR	17.0	13.0	14.0	18.0	12.0	17.0	23.0	25.0	23.0	22.0
AT3G54230	SUA	8.0	9.0	8.0	16.0	6.0	13.0	18.0	14.0	14.0	21.0
AT3G54240	AT3G54240				0.1				0.1	0.3	0.2
AT3G54250	MVD2	14.0	18.0	16.0	22.0	17.0	20.0	23.0	22.0	23.0	26.0
AT3G54260	TBL36	17.0	22.0	29.0	12.0	7.0	5.0	5.0	2.0	2.0	3.0
AT3G54270	SPP3A	7.0	4.0	5.0	5.0	3.0	6.0	6.0	5.0	6.0	6.0
AT3G54280	RGD3	10.0	11.0	9.0	15.0	7.0	13.0	15.0	14.0	14.0	14.0
AT3G54290	AT3G54290	18.0	17.0	19.0	20.0	16.0	19.0	18.0	21.0	21.0	23.0
AT3G54300	VAMP727	22.0	20.0	26.0	23.0	22.0	25.0	24.0	23.0	25.0	25.0
AT3G54310	AT3G54310								0.1		
AT3G54320	WRI1	9.0	6.0	6.0	7.0	6.0	6.0	4.0	5.0	6.0	6.0
AT3G54340	AP3				0.1	0.1			1.0	79.0	133.0
AT3G54350	emb1967	18.0	17.0	16.0	26.0	14.0	21.0	27.0	24.0	24.0	27.0
AT3G54360	NCA1	24.0	34.0	33.0	30.0	31.0	34.0	29.0	30.0	28.0	36.0
AT3G54363	AT3G54363	2.0	5.0	6.0	6.0	4.0	4.0	6.0	6.0	6.0	4.0
